id,title,difficulty,freq,listName,tags
1,"=HYPERLINK(""https://leetcode.com/problems/two-sum/"",""Two Sum"")",Easy,100,amzn,|Array|Hash Table|
17,"=HYPERLINK(""https://leetcode.com/problems/letter-combinations-of-a-phone-number/"",""Letter Combinations of a Phone Number"")",Medium,83.44426248861781,msft,|Hash Table|String|Backtracking|
23,"=HYPERLINK(""https://leetcode.com/problems/merge-k-sorted-lists/"",""Merge k Sorted Lists"")",Hard,83.30879740471252,msft|amzn,|Linked List|Divide and Conquer|Heap (Priority Queue)|Merge Sort|
25,"=HYPERLINK(""https://leetcode.com/problems/reverse-nodes-in-k-group/"",""Reverse Nodes in k-Group"")",Hard,72.10583448539523,msft,|Linked List|Recursion|
31,"=HYPERLINK(""https://leetcode.com/problems/next-permutation/"",""Next Permutation"")",Medium,87.66779586832466,fb,|Array|Two Pointers|
33,"=HYPERLINK(""https://leetcode.com/problems/search-in-rotated-sorted-array/"",""Search in Rotated Sorted Array"")",Medium,83.36663963939078,msft,|Array|Binary Search|
42,"=HYPERLINK(""https://leetcode.com/problems/trapping-rain-water/"",""Trapping Rain Water"")",Hard,98.08531323660095,amzn|fb,|Array|Two Pointers|Dynamic Programming|Stack|Monotonic Stack|
44,"=HYPERLINK(""https://leetcode.com/problems/wildcard-matching/"",""Wildcard Matching"")",Hard,65.82070138944718,msft,|String|Dynamic Programming|Greedy|Recursion|
49,"=HYPERLINK(""https://leetcode.com/problems/group-anagrams/"",""Group Anagrams"")",Medium,87.09897841534901,msft,|Hash Table|String|Sorting|
50,"=HYPERLINK(""https://leetcode.com/problems/powx-n/"",""Pow(x, n)"")",Medium,73.65939847175547,fb,|Math|Recursion|
54,"=HYPERLINK(""https://leetcode.com/problems/spiral-matrix/"",""Spiral Matrix"")",Medium,86.15134464214773,msft,|Array|Matrix|Simulation|
56,"=HYPERLINK(""https://leetcode.com/problems/merge-intervals/"",""Merge Intervals"")",Medium,98.5494589218619,msft|amzn|fb,|Array|Sorting|
65,"=HYPERLINK(""https://leetcode.com/problems/valid-number/"",""Valid Number"")",Hard,44.9904150692652,fb,|String|
68,"=HYPERLINK(""https://leetcode.com/problems/text-justification/"",""Text Justification"")",Hard,89.11833694646276,goog,|Array|String|Simulation|
71,"=HYPERLINK(""https://leetcode.com/problems/simplify-path/"",""Simplify Path"")",Medium,67.91729773442793,fb,|String|Stack|
79,"=HYPERLINK(""https://leetcode.com/problems/word-search/"",""Word Search"")",Medium,80.67199975089818,msft|amzn,|Array|Backtracking|Matrix|
93,"=HYPERLINK(""https://leetcode.com/problems/restore-ip-addresses/"",""Restore IP Addresses"")",Medium,50.01602881461519,msft,|String|Backtracking|
103,"=HYPERLINK(""https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/"",""Binary Tree Zigzag Level Order Traversal"")",Medium,58.14975258731536,msft,|Tree|Breadth-First Search|Binary Tree|
125,"=HYPERLINK(""https://leetcode.com/problems/valid-palindrome/"",""Valid Palindrome"")",Easy,67.19833437484661,fb,|Two Pointers|String|
127,"=HYPERLINK(""https://leetcode.com/problems/word-ladder/"",""Word Ladder"")",Hard,85.76522075974879,amzn,|Hash Table|String|Breadth-First Search|
138,"=HYPERLINK(""https://leetcode.com/problems/copy-list-with-random-pointer/"",""Copy List with Random Pointer"")",Medium,67.60304304428742,fb,|Hash Table|Linked List|
140,"=HYPERLINK(""https://leetcode.com/problems/word-break-ii/"",""Word Break II"")",Hard,67.97826895366455,fb,|Hash Table|String|Dynamic Programming|Backtracking|Trie|Memoization|
